0.149, 28.14, -0.08, -1.37, -9.42, -0.10, -0.04, 0.01, -23.55, -123.45, -128.40
0.173, 28.28, 0.05, -1.46, -9.50, -0.03, -0.07, 0.05, -23.10, -123.75, -128.55
0.197, 28.04, -0.07, -1.37, -9.50, -0.01, -0.05, 0.06, -23.10, -125.55, -128.85
0.221, 28.04, 0.06, -1.36, -9.66, -0.00, -0.02, 0.05, -23.10, -125.55, -128.85
0.245, 28.38, 0.22, -1.54, -9.68, 0.00, -0.00, 0.04, -23.70, -124.80, -128.25
0.269, 28.24, 0.19, -1.50, -9.67, 0.01, -0.00, -0.01, -22.80, -124.20, -129.45
0.293, 28.14, 0.20, -1.52, -9.63, 0.02, -0.01, -0.02, -22.65, -124.05, -127.80
0.317, 28.04, 0.24, -1.60, -9.71, 0.02, -0.01, -0.04, -22.50, -124.20, -127.95
0.341, 27.90, 0.15, -1.59, -9.68, 0.02, 0.00, -0.05, -22.65, -123.75, -128.85
0.365, 28.24, 0.15, -1.65, -9.64, 0.01, 0.00, -0.05, -22.65, -123.30, -129.60
0.389, 28.14, 0.18, -1.63, -9.63, 0.02, 0.00, -0.05, -22.65, -125.25, -128.85
0.413, 28.14, 0.03, -1.66, -9.70, 0.02, -0.01, -0.03, -22.65, -124.50, -128.85
0.437, 28.24, 0.10, -1.60, -9.75, 0.01, -0.02, -0.01, -22.65, -124.50, -128.85
0.461, 28.14, 0.12, -1.69, -9.78, 0.00, -0.00, 0.01, -23.25, -124.65, -129.45
0.485, 28.09, 0.07, -1.67, -9.89, -0.01, 0.01, 0.01, -23.10, -124.05, -129.30
0.509, 27.95, 0.16, -1.64, -9.69, -0.02, 0.02, 0.01, -23.25, -123.45, -128.40
0.533, 28.04, 0.16, -1.60, -9.65, -0.02, -0.01, 0.01, -23.55, -123.45, -128.40
0.557, 28.09, 0.22, -1.57, -9.72, -0.02, -0.01, 0.01, -22.80, -125.40, -129.45
0.581, 28.09, 0.32, -1.53, -9.55, -0.02, -0.01, -0.01, -24.60, -124.65, -128.40
0.605, 27.95, 0.20, -1.56, -9.62, 0.00, -0.01, -0.01, -24.30, -124.65, -127.95
0.629, 28.09, 0.28, -1.59, -9.53, 0.04, -0.02, -0.02, -23.55, -123.90, -127.65
0.653, 28.28, 0.27, -1.72, -9.65, 0.05, -0.03, -0.03, -23.55, -123.90, -127.65
0.677, 27.90, 0.24, -1.65, -9.74, 0.04, -0.04, -0.04, -22.05, -124.65, -128.40
0.701, 28.04, 0.20, -1.63, -9.59, 0.04, -0.04, -0.04, -23.10, -125.55, -128.55
0.725, 28.04, 0.14, -1.73, -9.59, 0.06, -0.05, -0.06, -21.75, -123.45, -127.35
0.749, 28.38, 0.22, -1.78, -9.68, 0.05, -0.05, -0.06, -21.00, -123.90, -128.40
0.773, 28.14, 0.21, -1.78, -9.72, 0.03, -0.05, -0.07, -25.20, -125.55, -127.50
0.797, 28.04, 0.22, -1.78, -9.58, 0.02, -0.05, -0.09, -23.25, -124.65, -127.65
0.821, 28.43, 0.08, -1.80, -9.75, 0.02, -0.04, -0.11, -24.15, -123.75, -127.80
0.845, 28.28, 0.04, -1.83, -9.61, 0.01, -0.04, -0.10, -24.45, -125.25, -128.55
0.869, 28.04, 0.03, -1.85, -9.63, 0.01, -0.04, -0.09, -24.45, -125.25, -128.55
0.893, 27.85, 0.04, -1.79, -9.58, 0.01, -0.03, -0.09, -22.50, -124.20, -128.70
0.917, 28.14, -0.03, -1.76, -9.59, 0.04, -0.03, -0.07, -22.50, -124.20, -128.70
0.941, 28.48, -0.05, -1.79, -9.70, 0.04, -0.02, -0.06, -24.00, -124.20, -128.40
0.965, 28.28, -0.06, -1.85, -9.66, 0.03, -0.01, -0.04, -24.30, -125.40, -129.00
0.989, 27.90, -0.01, -1.87, -9.70, 0.03, -0.01, -0.03, -23.25, -125.40, -127.95
1.013, 28.28, 0.04, -1.91, -9.72, 0.02, -0.02, -0.02, -22.05, -124.65, -127.95
1.037, 28.38, -0.07, -1.92, -9.77, 0.01, -0.02, -0.01, -22.65, -124.50, -129.60
1.061, 28.14, 0.00, -1.86, -9.74, -0.01, -0.01, -0.01, -23.40, -124.50, -128.55
1.085, 27.95, -0.01, -1.82, -9.72, -0.01, -0.01, -0.00, -23.40, -124.50, -128.55
1.109, 28.09, 0.02, -1.80, -9.70, -0.03, -0.00, -0.00, -23.40, -124.50, -128.55
1.133, 28.28, 0.03, -1.81, -9.64, -0.03, -0.01, -0.01, -23.70, -123.75, -129.30
1.157, 28.28, -0.00, -1.82, -9.48, -0.01, 0.00, -0.01, -24.60, -123.90, -128.70
1.181, 27.95, -0.07, -1.80, -9.73, 0.00, 0.01, 0.00, -24.15, -125.25, -128.25
1.205, 28.14, -0.06, -1.80, -9.54, 0.01, 0.03, 0.04, -24.15, -125.55, -127.80
1.229, 28.28, 0.07, -1.86, -9.55, 0.02, 0.02, 0.05, -21.90, -123.75, -127.05
1.253, 28.04, 0.09, -1.84, -9.63, 0.02, 0.01, 0.05, -23.25, -123.90, -128.70
1.277, 27.95, 0.25, -1.94, -9.64, 0.01, 0.01, 0.04, -24.15, -124.50, -129.30
1.301, 28.28, 0.16, -2.02, -9.60, 0.00, -0.00, 0.01, -24.15, -124.50, -129.30
1.325, 28.04, 0.00, -2.04, -9.57, 0.00, 0.00, 0.01, -24.15, -124.50, -129.30
1.349, 28.14, -0.14, -1.98, -9.73, -0.01, 0.02, 0.03, -24.15, -124.50, -129.30
1.373, 28.04, -0.08, -1.97, -9.66, -0.02, 0.02, 0.07, -22.65, -124.50, -129.60
1.397, 28.38, -0.12, -2.03, -9.72, -0.04, 0.00, 0.13, -22.50, -125.40, -126.60
1.421, 28.14, -0.07, -2.01, -9.75, -0.06, 0.01, 0.15, -23.70, -124.50, -128.85
1.445, 28.09, 0.08, -1.95, -9.73, -0.08, 0.02, 0.15, -23.10, -124.80, -128.55
1.469, 27.85, 0.08, -1.85, -9.62, -0.08, 0.02, 0.15, -23.10, -124.80, -128.85
1.493, 28.24, 0.02, -1.90, -9.61, -0.08, 0.02, 0.16, -23.25, -125.40, -126.60
1.517, 28.14, 0.02, -1.82, -9.74, -0.09, 0.02, 0.17, -23.25, -125.40, -126.60
1.541, 28.28, 0.07, -1.80, -9.71, -0.09, 0.01, 0.18, -23.25, -125.40, -126.60
1.565, 27.95, 0.00, -1.83, -9.64, -0.09, 0.01, 0.17, -23.25, -125.40, -126.60
1.589, 28.14, 0.02, -1.81, -9.66, -0.09, 0.03, 0.18, -23.10, -124.05, -127.80
1.613, 28.28, -0.05, -1.80, -9.75, -0.09, 0.03, 0.21, -23.10, -126.30, -128.55
1.637, 28.24, -0.05, -1.71, -9.73, -0.12, 0.04, 0.24, -23.40, -125.25, -128.55
1.661, 27.76, 0.21, -1.64, -9.50, -0.10, 0.03, 0.27, -23.10, -125.25, -128.25
1.685, 28.14, 0.13, -1.73, -9.62, -0.06, 0.00, 0.22, -22.65, -126.00, -128.25
1.709, 28.24, 0.23, -1.71, -9.67, -0.06, 0.00, 0.20, -22.05, -125.40, -126.90
1.733, 28.24, 0.25, -1.74, -9.79, -0.09, 0.02, 0.19, -22.50, -124.95, -129.45
1.757, 28.09, 0.21, -1.69, -9.45, -0.09, 0.02, 0.15, -22.50, -124.95, -129.45
1.781, 28.14, 0.15, -1.66, -9.58, -0.07, 0.03, 0.14, -22.50, -124.95, -129.45
1.805, 28.04, 0.11, -1.73, -9.62, -0.06, 0.02, 0.14, -21.45, -125.40, -129.45
1.829, 28.14, 0.21, -1.68, -9.72, -0.05, 0.02, 0.12, -22.05, -126.45, -130.20
1.853, 28.43, 0.19, -1.76, -9.61, -0.08, 0.02, 0.09, -22.35, -126.00, -128.55
